e03,e1,e2,e3,e09,e02
1399.42004394531,1455.21997070312,1397.43005371094,1455.21997070312,1009000000,-0.039099175340938
1402.10998535156,1413.27001953125,1377.68005371094,1399.42004394531,1085500000,0.00192033796158591
1403.44995117188,1411.90002441406,1392.09997558594,1402.10998535156,1092300000,0.000955221740056989
1441.46997070312,1441.46997070312,1400.72998046875,1403.44995117188,1225200000,0.0267299497298706
1457.59997558594,1464.35998535156,1441.46997070312,1441.46997070312,1064800000,0.0111278248731395
1438.56005859375,1458.66003417969,1434.42004394531,1457.59997558594,1014000000,-0.0131485767889028
1432.25,1442.59997558594,1427.07995605469,1438.56005859375,974600000,-0.00439601967860971
1449.68005371094,1454.19995117188,1432.25,1432.25,1030400000,0.0120962451654169
1465.15002441406,1473,1449.68005371094,1449.68005371094,1085900000,0.0106147634973409
1455.14001464844,1465.15002441406,1451.30004882812,1465.15002441406,1056700000,-0.00685551697673514
1455.90002441406,1461.39001464844,1448.68005371094,1455.14001464844,1087800000,0.000522156873622269
1445.56994628906,1465.7099609375,1438.5400390625,1455.90002441406,1100700000,-0.00712061256986129
1441.35998535156,1453.18005371094,1439.59997558594,1445.56994628906,1209800000,-0.00291656813395358
1401.53002929688,1454.08996582031,1395.42004394531,1441.35998535156,1115800000,-0.0280225842284591
1410.03002929688,1414.26000976562,1388.48999023438,1401.53002929688,1073700000,0.00604648360304055
1404.08996582031,1412.72998046875,1400.16003417969,1410.03002929688,1117300000,-0.00422161976666755
1398.56005859375,1418.85998535156,1370.98999023438,1404.08996582031,1129500000,-0.00394620402448249
1360.16003417969,1398.56005859375,1356.19995117188,1398.56005859375,1095800000,-0.0278408127297331
1394.4599609375,1394.47998046875,1350.14001464844,1360.16003417969,993800000,0.0249048505291246
1409.28002929688,1412.48999023438,1384.7900390625,1394.4599609375,981000000,0.0105717409154067
1409.11999511719,1420.60998535156,1403.48999023438,1409.28002929688,1038600000,-0.00011356385074743
1424.96997070312,1425.78002929688,1398.52001953125,1409.11999511719,1146500000,0.0111853476979196
1424.36999511719,1435.91003417969,1420.63000488281,1424.96997070312,1045100000,-0.000421133035721908
1424.23999023438,1427.15002441406,1413.32995605469,1424.36999511719,918100000,-9.12760143166444e-05
1441.71997070312,1441.82995605469,1424.23999023438,1424.23999023438,1047700000,0.0121984936725935
1411.7099609375,1444.55004882812,1411.65002441406,1441.71997070312,1050500000,-0.0210351170597511
1416.82995605469,1422.09997558594,1406.43005371094,1411.69995117188,1058800000,0.00362024285277645
1387.11999511719,1416.82995605469,1378.89001464844,1416.82995605469,1025700000,-0.0211922989891896
1389.93994140625,1394.93005371094,1380.53002929688,1387.11999511719,927300000,0.00203088685354913
1402.05004882812,1407.71997070312,1376.25,1389.93994140625,1092100000,0.00867494755307975
1387.67004394531,1404.55004882812,1385.57995605469,1402.05004882812,1018800000,-0.0103093728166806
1388.26000976562,1399.88000488281,1380.06994628906,1387.67004394531,1034800000,0.000425058137474761
1346.08996582031,1388.58996582031,1345.31994628906,1388.26000976562,1042300000,-0.030847103081692
1352.17004394531,1358.10998535156,1331.88000488281,1346.08996582031,980000000,0.00450667348111529
1360.68994140625,1370.10998535156,1342.43994140625,1352.17004394531,993700000,0.00628113910633761
1353.43005371094,1364.80004882812,1329.88000488281,1360.68994140625,1215000000,-0.00534973031624538
1333.35998535156,1362.14001464844,1329.15002441406,1353.43005371094,1065200000,-0.0149400893854355
1348.05004882812,1360.81994628906,1325.06994628906,1333.35998535156,1026500000,0.0109570787459805
1366.42004394531,1369.63000488281,1348.05004882812,1348.05004882812,1204300000,0.0135350730966457
1379.18994140625,1383.4599609375,1366.42004394531,1366.42004394531,1274100000,0.00930211472848202
1381.76000976562,1386.56005859375,1370.34997558594,1379.18994140625,1198600000,0.00186172813499385
1409.17004394531,1410.88000488281,1381.76000976562,1381.76000976562,1150300000,0.0196428537973815
1391.28002929688,1409.73999023438,1384.75,1409.17004394531,1029000000,-0.0127767019942111
1355.61999511719,1399.2099609375,1349.98999023438,1391.28002929688,1314100000,-0.0259652971202895
1366.69995117188,1373.7900390625,1346.61999511719,1355.61999511719,1203000000,0.00814012860693444
1401.68994140625,1401.81994628906,1357.88000488281,1366.69995117188,1123000000,0.0252795704034235
1395.06994628906,1413.4599609375,1392.06994628906,1401.68994140625,1138800000,-0.00473405493968453
1383.61999511719,1398.39001464844,1364.83996582031,1395.06994628906,1016100000,-0.00824130523312958
1359.15002441406,1395.15002441406,1359.15002441406,1383.61999511719,1094000000,-0.0178437271754161
1392.14001464844,1397.98999023438,1356.98999023438,1359.15002441406,1302800000,0.0239826197730334
1458.46997070312,1458.46997070312,1392.15002441406,1392.15002441406,1482300000,0.0465457788590509
